time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-22 00:00:00+00:00,10,5,0,0
2026-03-23 00:00:00+00:00,8,3,0,0
2026-03-24 00:00:00+00:00,16,7,1,1
2026-03-25 00:00:00+00:00,6,2,0,0
2026-03-26 00:00:00+00:00,14,5,2,2
2026-03-27 00:00:00+00:00,4,3,1,1
2026-03-28 00:00:00+00:00,18,9,0,0
2026-03-29 00:00:00+00:00,4,4,0,0
2026-03-30 00:00:00+00:00,12,8,5,1
2026-03-31 00:00:00+00:00,12,11,0,0
2026-04-01 00:00:00+00:00,14,6,0,0
2026-04-02 00:00:00+00:00,3,3,7,3
2026-04-03 00:00:00+00:00,9,5,0,0
2026-04-04 00:00:00+00:00,22,8,0,0
